	L1	L2	L3	M1	M2	M3	Q1	Q2	Q3	T1	T2	T3	X1	X2	X3
gene_1051	27.13	26.15	10.25	14.54	7.01	13.93	17.8	16.96	4.19	45.09	49.81	48.65	12.23	10.55	6.82
gene_1052	62.86	64.62	64.2	14.25	20.48	17.55	7.24	7.98	6.99	136.17	170.14	129.29	113	121.76	64.23
gene_1053	28.85	29.71	29.75	40.14	95.05	38.89	33.72	36.3	23.77	51.92	49.48	45.09	24.78	24.55	20.39
gene_1054	74.72	72.95	95.44	139.58	398.96	103.89	179.85	156.68	72.8	101.35	110.11	110.46	48.15	51.53	46.36
gene_1055	111.9	101.39	125.35	259.63	525.38	204.99	207.31	181.4	106.08	92.24	101.43	104.93	47.4	50.65	40.23
gene_1056	78.11	67.44	79.06	140.94	237.05	134.53	220.64	223.87	52.14	128.93	148.49	149.64	33.04	25.32	29.38
gene_1057	57.02	47.33	63.86	126.14	317.99	120.24	134.19	141.4	57.94	83.91	99.49	111.46	26.18	30.44	24.68
gene_1058	33.41	63.88	25.77	29.19	13.43	39.22	38.53	46.56	18.18	58.47	58.06	74.73	16.76	12.29	14.56
gene_1059	17.01	22.21	7.8	18.89	33.08	19.65	16.13	11.67	7.18	35.5	39.35	42.62	9.64	10.74	3.55
gene_1060	142.8	100.55	205.46	1270.8	2866.66	1214.4	2417.01	2086.06	1577.04	582.42	683.41	661.94	109.01	103.29	125.54
gene_1061	61.45	51.75	65.62	85.19	46.25	60.19	46.08	41.43	15.67	96.73	97.13	124.56	17.14	18.01	12.69
gene_1062	62.46	82.8	46	93.07	17.73	85.11	71.34	46.33	39.34	76.37	87.97	89.53	23.91	23.62	17.81
gene_1063	31.82	25.19	23.32	26.41	43.17	26.33	39.08	34.45	15.42	52.49	55.59	55.11	12.07	14.82	9.02
gene_1064	51.2	50.46	36.41	159.35	31.32	130.22	357.43	395.8	72.48	180.99	139.05	151.65	29.06	26.83	17.62
gene_1065	27.66	36.89	11.57	1.87	4.9	3.84	3.92	1.84	0	43.01	58.77	62.95	9.76	8.47	1.64
gene_1066	28.39	30.69	20.54	33.19	19.56	24.37	27.71	26.46	17.06	42.38	48.41	53.26	10.65	9.5	5.97
gene_1067	29.35	33.68	31.21	41.2	114.18	38.91	32.33	35.74	17.94	37.6	36.89	34.71	14.75	11.58	11.22
gene_1068	62.51	64.09	67.84	75.34	37.69	99.4	95.37	116.65	51.62	105.71	84.63	93.72	27.05	35.25	32.07
gene_1069	97.22	78.12	109.77	104.42	22.41	106.29	213.86	200.33	55.03	130.19	109.47	119.86	58.81	65.41	73.72
gene_1070	24.93	30.12	14.35	14.88	25.8	15.27	24.5	20.13	8.06	52.22	47.12	49.59	14.39	11.73	7.78
gene_1071	15.14	47.43	11.25	3.64	14.33	5.6	9.54	17.91	6.28	33.48	41.93	33.29	11.07	6.6	4.79
gene_1072	39.71	39.03	33.61	18.74	31.97	20.31	13.97	11.91	12.55	56.94	57.12	62.1	16.77	17.32	10.48
gene_1073	143.9	98.07	260.54	555.18	380.15	629.11	493.8	677.35	373.39	368.5	319	351.73	44.45	59.21	83.36
gene_1074	32.8	39.71	36.58	9.38	0	29.96	12.04	7.19	6.3	72.02	74.35	121.45	24.5	19.87	33.01
gene_1075	43.33	78	15.42	16.94	6.55	16.36	3.14	11.79	13.76	54.14	49.1	67.15	16.47	12.65	9.64
gene_1076	44	41.21	56.06	53.9	53.54	45.56	29	26.78	30.89	61.73	59.36	57.4	24.44	25.47	23.1
gene_1077	358.63	257	428.24	533.21	120.76	653.42	324.22	307.44	529.34	432.34	378.72	363.94	324.68	320.07	323.33
gene_1078	61.72	51.49	69.14	102.59	276.45	76.86	349.54	376.91	43.33	90.26	88.43	90.58	24.91	26.83	24.49
gene_1079	22.48	26.15	19.38	9.52	1.32	6.17	13.14	12.34	5.41	30.45	30.21	31.75	18.96	20	17.62
gene_1080	47.02	60.09	10.79	0	7.85	1.54	3.14	0	1.29	75.7	108.14	106.2	24.71	18.98	2.63
gene_1081	24.78	24.85	21.5	14.15	23.38	15.3	12.46	7.72	6.65	26.99	28.87	31.83	7.03	8.82	6.77
gene_1082	145.01	135.53	149.11	463.62	860.58	394.23	299.82	275.85	202.23	347.05	356.21	359.1	63.91	52.68	46.38
gene_1083	56.51	52.48	64.82	156.4	276.07	117.6	144.04	126.07	64.52	91.76	98.75	98.89	21.95	25.66	19.36
gene_1084	423.49	265.63	315.21	1017.5	342.41	1320.89	536.45	471.33	588.99	285.38	361.15	238.92	82.66	83.76	63.97
gene_1085	1.04	3.29	0.5	0	0.43	0	0.17	0	0	1.19	1.18	1.17	0.14	0.44	0.43
gene_1086	35.36	33.48	33.21	45.75	96.03	38.38	44.61	39.82	22.93	52.38	53.01	50.09	12.83	12.15	11.84
gene_1087	78.1	61.85	90.06	135.59	254.59	101.78	197.91	172.46	82.09	105.78	103.71	106.55	41.88	42.47	38.85
gene_1088	25.51	36.1	19.97	17.11	49.42	15.65	13.98	15.87	9.22	45.86	47.67	50.43	15.16	15.32	7.36
gene_1089	60.8	64.48	61.58	128.06	341.7	100.14	136.63	117.45	66.93	104.91	109.12	113.62	33.96	37.24	27.85
gene_1090	44.22	36.04	58.81	59.42	76.82	55.36	67.24	69.42	22.21	57.33	59.9	59.85	18.22	16	16.91
gene_1091	87.83	73.1	111.13	114.73	58.13	86.06	760.86	732.24	54.3	145.33	106.25	140.76	31.92	36.45	29.19
gene_1092	61.72	53.56	59.25	60	41.49	55.36	107.51	102.21	19.7	86.26	90.52	97.25	32.49	34.16	28.77
gene_1093	229.78	182.44	307.97	354.42	932.44	312.17	229.39	214.01	179.22	211.16	208.15	217	117.38	121.57	108.98
gene_1094	99.03	110.08	70.69	373.15	40.55	283.49	912.29	982.54	213.65	188.93	186.29	216.59	44.17	25.33	43.16
gene_1095	22.64	22.31	19.32	20.38	29.71	21.54	23.63	23	13.26	30.36	32.09	30.97	17.63	15.88	14.86
gene_1096	52.8	65.04	26.28	38.22	29.45	20.92	26.2	19.08	12.76	106.98	106.32	114.21	27.93	25.42	9.86
gene_1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_1098	39.41	41.74	51.34	83.19	35.92	71.79	232.23	218.72	32.32	134.41	135.88	141.07	5.66	7.73	4.93
gene_1099	97.82	88.93	115.28	311.76	337.03	255.9	292.25	284.3	107.69	230.67	239.38	261.76	39.22	37.47	32.23
gene_1100	13.05	17.39	5.01	9.29	2.22	8.93	13.69	13.27	6.2	20.14	19.35	22.49	4.26	2.57	2.82
gene_1101	16.53	22.91	12.15	15.58	11.48	18.52	13.16	16.48	9.84	33.07	31.87	33.68	6.78	5.17	6.85
gene_1102	22.37	29.64	11.74	13.97	2	17.59	15.52	18.39	8.71	30.48	32.98	37.4	8.47	9.05	9.5
gene_1103	15.37	14.99	22.27	21.92	83.31	19.09	13.59	15.38	11.47	22.03	36.22	31.14	8.96	13.56	8.47
gene_1104	21.87	36.61	16.86	16.9	27.56	17	29.9	26.12	9.15	45.67	45.51	49.83	13.45	13.93	8.74
gene_1105	29.44	33.33	31.48	33.31	70.13	35.32	51.55	48.22	19.44	50.72	45.06	54.51	9.88	11.82	9.98
gene_1106	25.47	39.56	18.47	28.12	31.87	22.02	70.2	68.98	13.67	48.52	48.57	57.13	13.26	16.24	8.46
gene_1107	172.09	144.46	191.32	248.35	286.85	142.41	1135.07	1133.8	53.37	148.12	147.1	170.69	20.1	25.27	17.03
gene_1108	30.56	35.58	22.59	32.8	99.39	39.66	39.35	38.99	19.01	51.22	48.7	56.37	15.26	16.64	9.88
gene_1109	555.09	275.56	693.65	961.86	2958.91	939.41	749.67	695.26	941.1	635.48	536.63	461.41	620.33	572.13	522.03
gene_1110	86.07	86.22	72.03	121.37	42.48	105.32	306.22	316.13	55.85	139.7	143.85	156.87	31.64	25.5	37.86
gene_1111	22.83	31.12	12.24	9.26	6.85	17.77	12.2	11.92	6.76	39.76	42.04	45.71	8.67	8.39	5.84
gene_1112	174.99	156.88	233.47	486.29	745.61	445.01	310.34	260.18	571.05	299.89	290.5	244.23	191.8	214.97	193.31
gene_1113	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0
gene_1114	33.63	34.27	32.4	21.14	9.34	24.93	25.7	32.7	10.92	57.12	60.27	57.44	14.09	15.77	11.12
gene_1115	31.36	32.46	26.59	24.48	59.35	20.77	21.86	18.21	10.87	49.2	52.57	55.09	16.79	15.8	11.69
gene_1116	47.71	45.52	53.37	69.74	170.27	74.06	79.82	84.3	30.8	74.97	74.22	76.56	26.1	22.21	20.68
gene_1117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_1118	24.58	24.71	17.48	16.63	26.66	17.59	25.88	23.25	8.74	39.25	36.07	41.79	13.37	12.11	9.68
gene_1119	48.45	40.4	59.34	88.59	240.88	75.62	107.17	101.42	47.12	64.53	67.16	62.97	29.63	30.44	27.22
gene_1120	22.21	23.14	19.05	24.27	33.28	24.69	25.76	28.26	12.47	43.87	41.16	43.15	9.76	11.84	7.18
gene_1121	98.63	87.71	131.35	991.26	1787.13	739.33	736.49	596.11	211.82	1054.9	1170.53	1129.73	40.86	43.75	39.8
gene_1122	37.17	39.23	29.26	46.6	56.49	39.66	44.38	36.28	18.57	57	63.45	57.95	14.4	17.53	11.22
gene_1123	63.48	46.78	61.14	77.1	95.48	65.18	77.93	69.28	35.29	90.92	97.89	96.67	28.68	29.51	23.02
gene_1124	19.62	36.32	13.75	37.57	50.93	23.01	78.22	71.05	9.94	24.55	20.33	30.18	6.85	7.69	6.93
gene_1125	28.57	25.95	24.77	33.13	63.23	26.35	59.97	49.55	15.22	54.8	50.87	47.49	14.21	14.06	10.62
gene_1126	31.87	41.74	25.16	26.55	39.1	28.71	61.36	85.9	15.8	54.51	55.29	57.02	17.79	13.67	10.41
gene_1127	14.09	12.98	8.29	4.44	10.27	6.29	9.1	6.25	4.01	22.59	30.82	33.78	5.52	8.44	4.46
gene_1128	12.72	15.51	11.79	21.27	64.2	17.67	24.29	25.37	12.49	27.17	18.96	23.52	6.04	8	6.1
gene_1129	54.03	51.2	67.39	90.02	95.34	59.58	141.29	128.22	53.74	80.35	82.37	81.34	46.39	45.07	51.84
gene_1130	103.95	68.46	129.61	179.38	34.3	141.09	330.44	348.64	111.88	239.58	237.66	243.63	85.75	71.52	68.47
gene_1131	33.12	71.29	16.23	9.44	3.1	8.88	14.45	17.05	9.51	67.73	70.94	85.57	16.77	16.05	4.15
gene_1132	66.42	53.21	89.51	151.03	465.28	173.34	181.22	189.28	151.5	87.25	80.47	80.69	47.36	48.3	53.47
gene_1133	21.93	28.01	5.95	4.48	5.05	1.32	11.43	10.73	2.76	28.9	20.82	27.68	6.69	4.07	5.07
gene_1134	33.92	32.42	36.51	44.7	20.37	33.29	32.71	37.38	18.51	59.47	60.18	65.07	20	16.63	17.36
gene_1135	201.73	166.55	294.07	719.46	2022.03	599.39	841.9	795.6	311.77	303.6	313.3	296.07	147.82	154.77	129.31
gene_1136	34.96	28.96	35.28	74.87	183.97	65.1	105.8	109.73	31.67	59.88	59	62.19	8.83	10.82	7.08
gene_1137	30.64	32.82	24	20.44	41	10.87	38.72	44	5.06	56.63	59.91	62.5	14.16	12.01	6.66
gene_1138	106.96	87.75	143.14	207.83	255.42	171.13	385.12	390	57.52	157.35	170.27	178.84	44.3	47.34	50.33
gene_1139	63.13	54.32	70.82	107.93	138.34	97.98	133.29	162.58	33.34	90.68	92.68	90.36	20.35	19.07	20.94
gene_1140	32.3	41.38	24.84	31.6	24.5	20.38	17.37	18.98	9.09	46.84	44.18	40.56	25.14	33.03	22.23
gene_1141	181.42	161.96	209.76	459.38	293.13	397.52	225.56	210.01	284.84	181.17	195.18	179.62	91.71	99.06	82.07
gene_1142	33.13	32.37	32.54	31.73	85.19	26.37	191.02	166.45	11.93	61.86	64.3	64.78	18.66	21.06	16.05
gene_1143	875.34	614.26	1182.87	61.68	130.95	94.39	30.9	33.73	76.85	1207.08	1251.9	932.05	1331.73	1463.03	1202.79
gene_1144	14.17	28.83	6.13	6.3	3.07	8.13	9.83	9.76	6.99	32	30.78	34.16	8.62	6.21	2.22
gene_1145	60.25	55.87	57.86	57.84	92.81	47.48	172.27	160.2	21.48	90.9	90.54	102.36	27.3	23.86	19.65
gene_1146	66.51	61.46	76.65	32.36	42.95	39.85	30.8	29.95	13.77	62.15	73.67	71.53	14.88	15.1	13.92
gene_1147	20.45	32.16	6.56	5.71	1.28	15.6	15.04	14.87	5.77	28.88	24.3	26.76	9.38	6.95	7.58
gene_1148	230.5	173.05	254.4	1124.88	4056.58	903.75	1571.19	1534.27	387.12	479.45	412.7	463.47	5.42	7.91	7.67
gene_1149	25.22	31.45	16.1	33.45	56.93	26.7	37.7	36.13	11.76	49.05	51.17	56.26	9.05	14.39	9.81
gene_1150	100.41	86.96	78.49	127.62	32.88	129.49	493.6	507.92	68.36	126.08	128.79	131.55	50.64	32.46	55.58
gene_1151	47.1	66.66	37.5	112.72	41.38	88.3	136.08	124.2	42.9	75.89	91.49	74.57	9.49	5.5	5.33
gene_1152	11.37	11.73	9.7	15.19	13.3	14.84	15.18	12.12	12.49	14.65	13.65	16.42	5.66	9.84	5.72
gene_1153	100.19	80.37	139.72	155.38	255.58	140.54	79.77	69.12	107.54	192.15	195.48	164.7	46.22	52.58	42.95
gene_1154	0.32	1.13	1.01	0.35	0.23	0.06	1.45	0.85	0	0.58	0.72	0.8	0.25	0.26	0.25
gene_1155	50.12	41.02	45.34	45.74	8.16	64.24	27.95	23.19	29.51	47.83	60.52	59.18	17.77	19.33	16.79
gene_1156	41.49	41.64	49.92	35.96	14.57	41.92	29.35	31.94	27.98	58.05	60.98	49.75	22.79	12.89	17.57
gene_1157	140.53	123.56	200.5	220.62	637.3	159.58	206.83	202.94	160.31	155.18	146.17	143.3	110.12	117.27	137.7
gene_1158	37.21	39.91	28.27	120.66	204.7	132.58	143.41	146.24	72.81	85.86	82.84	90.45	15.48	19.37	15.02
gene_1159	29.9	34.9	14.38	23.03	9.01	27.77	33.7	36.23	10.46	45.01	47.44	53.11	12.3	11.54	8.7
gene_1160	98.45	99.96	71.34	80.57	9.98	74.1	173.08	173	24.94	144.52	151.01	188.44	45.95	34.82	41.77
gene_1161	38.37	52.09	29.14	29.03	74.89	25.54	72.08	59.51	12.98	68.5	81.53	80.87	19.62	22.81	18.92
gene_1162	37.67	41.4	32.96	68.45	185.7	39.46	187.61	147.19	21.14	60.49	60.11	59.85	25.84	27.39	17.98
gene_1163	29	29.87	23.74	25.6	80.64	19.55	34.57	28.35	10.54	41.93	45.25	45.2	11.66	12.96	8.72
gene_1164	454.25	345.42	536.07	413.96	144.95	427.15	491.09	435.07	144.92	447.86	496.68	566.78	381.14	370.26	318.51
gene_1165	8.54	14.88	1.36	1.32	1.73	5.41	1.39	5.2	1.14	36.44	31.8	32.85	8.03	0	4.64
gene_1166	2415.93	2098.67	2484.37	4527.99	2726.87	3607.71	5731.02	4777.02	2480.04	4015.69	4585.9	4276.75	526.2	616.66	376.65
gene_1167	9.87	9.21	3.37	8.49	0.29	4.02	9.14	6.43	4.89	12.02	7.99	13.23	3.22	2.96	2.3
gene_1168	89.01	89.17	78.8	40.93	48.96	50.83	16.14	14.38	60.54	510.39	677.09	563.32	38.34	39.5	21.78
gene_1169	69.79	56.13	63.41	157.41	295.6	129.52	130.57	130.81	57.68	112.39	117.07	118.77	31.78	33.4	26.11
gene_1170	56.14	43.06	81.09	201.14	400.92	152.15	167.2	175.62	68.69	136.7	135.84	134.59	25.73	28.56	25.34
gene_1171	24.06	16.81	19.43	13.2	7.91	11.7	14.66	12.88	4.21	170.36	195.72	169.57	48.27	51.72	40.56
gene_1172	55.16	33.86	82.17	130.85	145.48	148.34	109.61	133.6	67.41	74.81	70.25	62.6	30.75	28.23	34.8
gene_1173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_1174	26.53	37.06	10.82	7.83	21.07	9.72	19.36	19.04	6.76	50.72	60.79	60.51	13.52	10.2	3.89
gene_1175	489.85	311.45	742.4	693.79	1900.18	579.67	381.2	372.8	344.5	360.18	379.69	361.57	112.13	142.88	138.19
gene_1176	74.22	70.56	68.33	104.34	65.69	107.53	64.55	70.83	41.24	84.66	86.71	91.44	32.16	26.98	28.93
gene_1177	30.16	41.76	34.36	26.77	25.98	31.56	37.5	33.8	16.72	60.83	49.56	61.1	18.08	15.5	14.64
gene_1178	24.52	45.04	22.89	17.89	3.57	23.01	49.2	39.28	12.12	59.22	55.57	48.77	12.81	13.97	16.13
gene_1179	48.73	46.43	53.34	90.07	254.84	66.97	123.15	124.86	42.5	90.49	89.63	91.4	15.11	15.93	13.59
gene_1180	26.69	35.32	22.72	42.09	149.28	35.79	176.81	150.01	16.53	55.42	59.8	65.79	13.35	15.7	10.61
gene_1181	206.02	154.91	308.26	737.13	1461.66	683.21	876.03	884.89	427.84	403.48	395.51	378.84	98.55	117.23	112.14
gene_1182	58.15	58.3	50.12	98.76	286.65	77.15	81.18	74.32	45.39	89.71	88.84	100.84	39.64	41.67	32.31
gene_1183	111.76	101.99	76.26	130.5	9.55	118.15	239.52	217.35	68.36	111.97	135.97	146.17	40.42	41.77	27.71
gene_1184	172.31	127.42	188.8	301.86	515.25	258.85	220.74	214.94	142.21	233.93	259.1	243.55	84.16	94.2	73.68
gene_1185	107.92	106.34	132.46	249.3	769.18	214.88	279.61	235.72	109.93	154.58	165.26	158.96	55.67	69.86	46.23
gene_1186	247.37	198.2	360.88	557.05	679.93	515.03	296.57	251.12	724.05	257	279.09	228.1	314.72	384.41	350.21
gene_1187	33.55	53.35	25.34	39.13	33.97	31.48	78.83	76.85	15.26	65.71	66.91	71.78	16.85	16.5	9.71
gene_1188	91.02	106	93.22	91.75	26.13	86.87	74.43	92.66	45.82	153.16	151.12	145.79	48.37	56.03	49.29
gene_1189	15.85	13.44	9.72	20.02	34.62	18.17	12.32	11.76	8.8	22.33	26.23	24.81	8.03	7.68	4.74
gene_1190	40.4	32.46	20.69	38.94	13.94	61.76	104.02	140.7	22.41	38.03	44.54	35.44	12.32	0	13.49
gene_1191	62.7	65.53	51.92	120.3	116.38	97.19	104.72	91.52	47.33	95.69	107.6	113.33	30.89	32.96	22.86
gene_1192	115.8	137.87	115.51	257.12	725.07	175.22	192.88	135.96	112.84	130.69	130.72	128.22	75.78	89.62	57.85
gene_1193	121.27	94.87	135.94	39.51	49.8	50.16	16.64	13.78	41.45	466.7	556.03	430.04	58.08	68.01	37.91
gene_1194	144.75	110.61	132.95	250.57	316.88	190.47	314.84	292.27	107.46	120.54	132.19	139.77	40.24	42.5	24.4
gene_1195	41.97	78.59	20.01	20.72	18.25	28.25	22.29	27.91	12	69.55	62.96	73.56	13.01	18.55	3.69
gene_1196	20.08	48.22	4.88	8.42	1.9	13.09	18.08	16.97	5.67	30.03	34.88	34.48	6.07	4.65	3.7
gene_1197	80.78	74.59	97.12	809.46	386.36	648.47	1056.29	973.18	934.37	744.46	772.06	750.52	18.44	21.19	14.77
gene_1198	50.28	50.16	57.64	50.09	85.7	50.51	62.01	54.58	49.9	87.13	82.27	79.01	40.52	52.37	41.06
gene_1199	18.74	43.35	14.92	10.12	3.8	15.59	68.31	69.13	5.62	46.62	40.95	42.38	10.7	14.44	13.35
gene_1200	347.78	282.86	317.74	334.11	131.7	312.3	335.69	301.17	375.11	405.06	483.6	415.02	82.94	85.04	60.4
gene_1201	19.44	24.83	15.38	21.36	51.95	17.95	26.61	21.86	11.65	38.81	34.59	33.62	9.4	10.65	7.54
gene_1202	39.67	53.83	25.15	5.76	18.98	12.95	6.82	4.22	4.97	102.33	120.37	121.6	28.25	29.23	20.15
gene_1203	55.22	64.77	67.62	48.72	130.36	55.7	57.77	68.72	21.09	108.5	98.25	113.14	41.57	41.52	39.17
gene_1204	184.29	143.41	234.85	83.44	259.74	198.34	133.88	142.15	60.02	230.47	230.71	231.44	143.96	139.69	171.8
gene_1205	41.98	39.12	31.63	32.08	31.19	33.65	41.29	40.52	25.24	79.16	80.28	82.82	18.51	19.13	11.84
gene_1206	43.18	40.72	47.37	54.09	85.01	47.34	81.93	81.27	27.39	60.01	67.31	68.21	21.71	20.58	19.76
gene_1207	120.06	95.03	153.62	139.52	333.47	104.96	4022.72	3527.19	2953.77	284.56	306.73	252.57	81.17	94.56	72.03
gene_1208	143.15	109.7	194	338.15	628.49	348.95	241.75	215.7	215.39	195.11	174.7	173.09	66.75	71.91	73.64
gene_1209	46.41	60.56	76.05	128.46	466.1	151.7	153.93	188.36	56.75	113.73	105.19	124.7	26.12	28.61	22.06
gene_1210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_1211	10.82	11	6.03	2.92	3.84	13.01	6.14	4.8	2.53	16.16	13.28	17.14	0.85	4.42	5.14
gene_1212	26.41	31.26	6.11	19	4.36	27.16	22.98	23.22	15.95	38.33	32.43	41.21	9.76	3.58	8.95
gene_1213	32.84	38.21	5.78	0	4.9	0	3.92	3.68	0	43.01	68.56	60.21	17.88	5.09	0
gene_1214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_1215	53.62	64.02	49.66	68.27	137.62	59.06	140.01	125.76	34.13	76.5	78.71	74.56	23.78	24.7	23.06
gene_1216	36.42	30.1	38.88	113.11	280.9	79.77	95.33	88.7	36.56	67.14	80.8	76.27	14.02	16.87	13.44
gene_1217	10.27	10.24	6.16	8.11	1.97	10.52	9.19	5.68	2.03	11.8	16.34	13.29	4.65	3.49	1.88
gene_1218	10.78	16.12	7.71	5.94	1.73	7.67	39.91	42.45	4.17	20.44	18.44	18.35	4.4	6.78	2.32
gene_1219	115.61	106.68	104.84	83.71	10.21	127.01	1249.21	1529.46	101.68	146.45	151.71	142.77	46.82	39.59	50.48
gene_1220	829.37	751.51	954.1	654.66	896.56	553.12	324.79	230.47	441.39	695.49	816.33	843.66	257.04	322.22	235.83
gene_1221	14.64	27.64	5.83	4.9	12.86	1.54	0.79	1.85	3.25	33.66	37.53	37.81	9.18	8.54	1.99
gene_1222	20.58	20	16.26	17.42	30.76	16.31	25.82	25.05	8.53	42.05	42.45	38.28	9.12	9.29	9.94
gene_1223	35.98	39.65	14.99	29.6	41.87	25.52	23.35	27.62	15.57	43.71	50.87	57.35	12.8	15.41	10.32
gene_1224	276.16	266.01	401.43	611.4	128.7	584.08	647.94	716.79	481.88	362.1	317.84	363.37	95.33	99.57	110.45
gene_1225	29.41	35.99	37.04	49.32	86.86	48.49	75.01	72.63	23.29	66.92	63.77	69.09	15.99	17.92	11.94
gene_1226	154.83	123.22	154.35	440.9	807.71	353.51	295.86	259.71	298.12	169.12	168.07	188.51	110.62	117.98	96.55
gene_1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_1228	63.24	59.08	76.84	132.97	323.55	131.5	130.17	122.47	65.56	115	116.41	119.28	29.16	28.1	25.23
gene_1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene_1230	97.47	120.97	75.54	96.15	28.54	79.78	81.79	79.11	53.42	185.72	242.27	249.13	32.88	39.97	27.55
gene_1231	147.14	131.46	198.89	208.54	521.56	180.62	90.08	83.96	97.47	186.41	211.24	208.21	72.31	73.51	71.41
gene_1232	31.23	37.75	23.87	14.95	34.83	16.33	20.75	17.58	16.65	58.17	51.06	59.68	16.78	18.37	7.21
gene_1233	61.48	63.35	68.54	114.72	157.68	95.25	184.16	194.07	36.27	115.37	123.39	131.05	28.26	29.32	21.49
gene_1234	41.49	57.77	18.78	13.99	11.08	20.73	23.76	18.59	7.09	72.16	67.03	83.41	22.02	16.92	9.96
gene_1235	212.5	183.95	255.53	430.96	127.1	294.63	515.9	557.73	172.32	217.54	194.37	256.75	77.08	79.37	101.47
gene_1236	29.29	26.21	23.62	14.51	35.75	24.73	17.74	14.65	6.73	54.32	52.67	50.06	16.38	17.73	14.55
gene_1237	192.36	175.64	186.62	419.92	743.6	469.94	1122.04	1149.43	316.4	351.26	356.19	347.21	92.05	76.77	100.55
gene_1238	73.76	48.31	68.1	159.45	356.59	120.16	807.81	1056.8	39.79	81.44	54.85	83.94	14.09	11.3	9.86
gene_1239	73.97	60.92	65.08	137.84	233.26	83.65	107.61	90.95	57.01	74.42	71.62	77.4	24.65	25.85	16.05
gene_1240	424.27	365.18	563.89	409.46	1213.05	390.95	163.68	147.16	228.23	498.02	542.94	541.22	189.31	187.11	199.91
gene_1241	6.63	9.45	0.32	0.93	0	2.88	0.98	1.23	0.81	8.03	10.12	11.18	1.08	1.98	0.82
gene_1242	52.95	47.29	57.72	131.19	357.06	100.92	164.91	148.65	54.84	91.82	98.88	101.34	24.98	24.62	21.19
gene_1243	12.26	12.22	5.26	4.59	3.35	12.55	3.74	10.55	4.4	20.65	26.18	18.66	3.11	4.62	0.45
gene_1244	18.34	21.56	6.94	10.27	38.89	10.66	10.4	9.89	5.91	29.23	34.52	33.71	8.93	9.63	5.4
gene_1245	53.97	50.4	54.6	64.35	183.59	53.26	85.81	80.21	28.7	73.1	82.65	82.81	26.58	27.55	21.2
gene_1246	59.3	55.05	63.43	77.72	157.64	68.27	96.66	93.24	33.84	95.37	91.03	84.87	40.37	36.82	37.07
gene_1247	31.81	31.62	18.09	4.1	10.03	5.08	4.75	4.18	2.93	67.6	72.67	66.41	25.84	26.94	29.23
gene_1248	66.68	60.61	75.13	101.45	204.98	98.17	92.2	85.86	55.98	85.73	87.01	85.86	37.89	40.19	36.76
gene_1249	88.79	99.09	33.61	76.84	12.17	97.86	178.5	169.98	54.97	101.58	119.42	128.09	31.73	17.9	22.87
gene_1250	43.97	38.82	48.84	66.1	75.81	61.99	86.39	88.7	21.96	72.26	75.26	91.43	19.07	22.01	19.13
gene_1251	102.68	80.68	134.96	683.47	1305.34	496.62	1085.08	1023.82	202.53	237.95	234.67	240.8	61.21	59.52	59.79
gene_1252	24.93	29.7	26.73	11.42	7.84	22.22	16.1	15.62	5.74	32.35	40.05	39.59	6.38	8.97	8.4
gene_1253	129.74	117.02	142.98	456.64	163.23	296.94	361.44	314.78	415.37	127.11	149.62	145.28	51.85	52.33	49.46
gene_1254	34.71	53.29	16.77	8.93	14.31	14.85	18.18	17.25	6.63	52.97	55.07	65.95	14.14	12.8	5.97
gene_1255	31.11	41.51	9.25	30.27	4.42	24.73	46.47	36.45	5.81	54.19	64.06	66.51	11.22	10.17	8.87
gene_1256	88.66	73.21	80.05	150.1	304.11	104.65	81.23	67.39	64.43	46.38	51.31	59.92	26.19	25.35	19.63
gene_1257	111.72	84.39	148.51	229.1	313.94	217.06	261.36	268.85	103.54	252.48	241.32	211.51	62.05	68.36	79.82
gene_1258	41.28	50.1	43.28	87.47	285.39	68.8	86.43	67.15	35.07	68.89	66.34	70.57	19.51	27.19	21.67
gene_1259	27.81	34.15	29.71	33.48	50.91	30.68	49.01	40.04	11.97	42.01	51.1	48.35	16.26	13.14	10.27
gene_1260	42.73	46.73	52.12	40.16	37.35	34.69	132.39	141.14	20.51	93.37	97.19	89.22	16.31	12.14	16.48
gene_1261	29.99	29.98	33.04	79.21	222.28	55.58	74.56	72.5	33.69	57.02	65.95	60.43	13.68	16.02	13.32
gene_1262	17.47	29.96	20.69	34.23	4.65	31.49	34.67	26.74	31.58	45.64	51.97	48.4	8.22	13.92	16.61
gene_1263	50.19	50.75	26.84	16.61	34.89	22.16	34.28	21.82	6.69	95.33	87.65	102.19	18.3	23.1	14.61
gene_1264	114.49	130.64	58.9	98.56	17.83	137.42	96.38	85.12	62.53	156.72	173.4	184.95	30.44	15.84	25.73
gene_1265	54.6	44.68	54.71	123.23	129.71	102.17	182.89	187.94	48.26	72.81	80.78	75.75	24.66	22.22	23.89
