	L1	L2	L3	M1	M2	M3	Q1	Q2	Q3	T1	T2	T3	X1	X2	X3
gene_696	36.27	29.35	34.11	134.38	192.97	114.05	113.24	113.64	54.86	91.65	104.69	113.89	15.16	13.02	11.2
gene_697	24.61	35.04	11.79	12.42	20.63	10.49	15.57	14.94	7.21	45.95	43.9	45.16	10.33	12.06	7.15
gene_698	49.16	51.63	41.91	88.85	148.87	55.4	42.51	35.06	36.02	54.24	50.67	62.43	18.62	18.76	15.22
gene_699	89.52	85.55	84.07	88.39	55.95	87.65	202.09	178.58	38.71	117.88	123.88	142.28	37.07	43.21	39.27
gene_700	154.34	99.09	160.35	222.29	717.04	147.87	187.13	170.27	108.26	112.73	114.72	112	61.12	55.86	57.18
gene_701	14	21.05	3.24	1.43	1.69	3.81	2.85	1.13	1.85	25.38	28.6	33.78	6.83	7.38	2.14
gene_702	98.79	96.63	91.27	131.6	273.85	119.63	558.29	559.84	62.3	157.65	143.78	169.8	76.32	64.18	75.33
gene_703	42.89	39.74	44.69	65.75	190.18	50.68	138.31	107.48	37.92	62.78	75.29	80.34	18.98	13.74	10.66
gene_704	51.33	54.64	47.75	91.02	176.49	70.58	172.12	159.6	45.71	82.48	86.3	90.12	31.23	39.36	23.71
gene_705	36.64	40.54	39.9	61.18	146.1	38.9	238.04	257.99	19.96	63.85	58.33	60.04	17.7	15.24	13.69
gene_706	31.16	30.24	29.67	38.28	50.91	36.13	80.98	78.89	14.24	57.17	58.72	60.74	16.97	18.03	13.27
gene_707	38.98	37.78	34.15	56.88	119.75	45.71	54	54.86	26.76	52.38	45.12	51.14	21.47	22.11	20.91
gene_708	141.98	110.88	205.14	515.14	1557.03	427.91	542.69	515.9	214.93	225.77	232.94	213.49	60.04	61.28	71.44
gene_709	33.06	40.45	30.52	78.76	50.81	65.4	101.52	89.05	26.53	67.91	80.91	80.86	8.52	11.56	10.41
gene_710	24.89	26.71	18.67	35.71	33.15	34.43	92.55	103.76	22.94	49.7	47.19	49.87	9.39	9.19	6.86
gene_711	36.84	33.36	33.65	39.62	74.8	32.67	123.8	121.98	12.84	62.44	62.31	73.41	18.44	18.51	18.64
gene_712	216.88	157.83	238.11	1207.08	734.58	1051.92	310.91	348.13	480.78	1715.78	1911.37	1738.95	201.7	222.41	190.29
gene_713	45.97	72.75	41.91	63.16	178.59	54.23	145.15	149.16	39.62	76.38	69.09	78.18	24.72	30.93	20.55
gene_714	91.28	74.49	97.65	62.79	28.13	62.89	179.86	164.96	25.37	150.49	145.75	147.8	64.59	56.04	49.95
gene_715	176.94	210.2	142.84	354.81	464.16	332.95	250.51	230.03	143.46	274.47	265.5	338.11	57.37	83.74	40.59
gene_716	54.85	49.05	48.83	80.11	68.37	57.84	165.94	169.91	23.37	109.56	108.88	112.26	21.74	22.16	17.21
gene_717	30.87	32.36	1.07	1.04	2.74	13.91	15.32	16.44	7.2	36.49	28.43	39.72	9.07	3.79	5.5
gene_718	87.76	88.06	80.41	170.41	375.97	104.07	404.33	507.13	50.92	127.37	141.41	153.11	35.71	35.35	36.09
gene_719	31.73	36.42	29.07	36.96	28.73	31.05	44.99	41.37	18.38	54	58.8	62.8	14.75	16.27	8.67
gene_720	43.78	45.69	51.08	48.97	94.83	65.22	68.42	58.83	22.68	72.45	67.49	77.28	22.74	25.7	28.91
gene_721	56.28	52.51	56.25	132.13	343.25	113	124.28	105.37	71.14	63.73	68.14	66.01	27.77	26.42	24.13
gene_722	72.19	73.94	70.62	87.94	37.73	96.15	105.51	99.01	37.08	104.07	108.86	115.68	33.62	31.49	33.15
gene_723	65.71	51.59	76.95	72.75	194.12	67.93	112.98	96.11	32.58	94.19	107.61	98.58	24.51	21.74	20.11
gene_724	15.79	17.07	7.37	14.69	15.11	15.48	20.82	20.73	7.54	32.89	27.88	29.94	8.98	6.84	4.89
gene_725	18.28	19.47	13.33	22.3	53.56	20.28	36.42	39.69	10.94	34.76	36.66	32.29	6.61	6.2	7.13
gene_726	31.11	52.65	8.07	37.65	8.05	47.75	152.49	160.28	29.22	50.44	51.89	65.69	11.59	1.92	8.55
gene_727	96.13	92.04	109.43	196.89	150.8	132.82	163.17	147.83	107.96	141.5	149.65	150.34	74.23	83.01	69.57
gene_728	66.38	85.57	72.19	114.13	163.96	99.98	111.65	111.25	43.26	82.59	94.58	106.26	29.22	33.98	31.4
gene_729	18.99	24.12	9.41	8.36	3	18.72	15.95	23.96	5.9	20.29	24.71	20.04	7.93	4.14	6.02
gene_730	83.76	69.96	108.44	196.94	213.6	171.05	350.49	375.8	63.55	156.6	186.96	213.33	34.78	28.78	30.51
gene_731	22.04	29.4	6.87	3.85	8.74	2.88	4.78	7.6	2.72	34.84	31.22	38.49	7.62	6.36	2.16
gene_732	33.99	32.47	27.65	34.26	70.09	24.91	90.5	77.1	14	49.54	49.81	57.93	15.63	15.37	10.85
gene_733	27.17	36.26	20.49	25.56	23.78	21.14	54.87	47.64	15.76	52.86	53.14	58.2	13.6	13.38	8.22
gene_734	130.46	118.84	143.48	171.05	313.07	188.76	204.7	203.25	83.08	195.84	195.86	199.67	48.63	44.7	46.1
gene_735	25.48	40.22	8.52	13.77	18.59	15.34	15.69	16.67	6.45	55.78	59.39	60.79	13.01	13.56	4.5
gene_736	129.79	143.07	150.64	538.39	750.4	439.02	802.49	825.14	205.77	186.36	190.07	231.14	44.85	58.51	59.47
gene_737	83.87	71.21	101.66	185.44	342.62	140.87	318.65	308.67	68.86	92.09	108.83	112.18	33.89	39.58	35.61
gene_738	14.54	24.32	7.32	2.68	7.05	6.29	4.22	2.83	2.81	30.53	31.14	31.02	6.83	5.39	2.69
gene_739	890.66	559.25	1408.23	4394.4	14142.21	4715.36	7339.89	8420.04	1800.1	2431.76	2060.54	2067.07	387.6	374.93	520.36
gene_740	50.13	44.53	50.03	383.85	770.8	271.41	841.07	900.15	118.98	101.13	96.34	98.53	20.54	19.76	11.1
gene_741	69.5	60.52	76.31	140.23	335.38	122.64	379.32	393.42	38.91	150.29	146.06	172.73	39.01	32.42	32.03
gene_742	45.38	84.99	13.73	2.8	0.92	10.07	6.61	4.14	5.44	80	101.38	81.08	20.12	19.07	8.01
gene_743	73.05	60.67	94.15	94.14	247.38	88.17	137.94	134.02	75.55	108.11	114.37	120.68	87.66	84.04	99.34
gene_744	36.28	62.25	14.88	13.72	7.39	26.89	15.13	16.29	9.11	50.2	41.49	52.68	16.68	9.89	12.22
gene_745	327.91	310.13	462.95	173.88	35.64	79.12	642.7	572.49	31.92	118.44	144.35	165.95	13.35	9.63	12.45
gene_746	28.94	38.12	22.36	6.73	10.53	6.09	5.92	4.39	4.53	48.31	49.61	44.66	23	29.54	27.77
gene_747	79.84	64.35	83.5	123.72	179.74	86.95	80.71	76.56	49.85	86.31	84.33	85.74	26.31	30.62	28.09
gene_748	1.19	1.25	0.33	0.32	0	0	0.51	0.48	0.28	1.33	1.35	1.77	0.28	0	0
gene_749	55.96	60.78	40.31	67.27	87.52	67.34	53.1	33.24	26.63	52.66	61.9	61.93	18.26	23.32	14.65
