gene	pathway
10094	hsa05130:K05756:
10094	hsa05131:K05756:
10094	hsa05132:K05756:
10095	hsa04144:K05757:
10095	hsa04666:K05757:
10095	hsa04810:K05757:
10095	hsa05100:K05757:
10095	hsa05130:K05757:
10095	hsa05131:K05757:
10095	hsa05132:K05757:
10096	hsa04530:K18584:
10097	hsa04530:K17260:
100996746	hsa04114:K08694:
100996746	hsa04914:K08694:
100996758	hsa04080:K04206:
100	hsa00230:K01488:[EC:3.5.4.4]
100	hsa05340:K01488:[EC:3.5.4.4]
10105	hsa04020:K09565:[EC:5.2.1.8]
10105	hsa04022:K09565:[EC:5.2.1.8]
10105	hsa05012:K09565:[EC:5.2.1.8]
10105	hsa05016:K09565:[EC:5.2.1.8]
10105	hsa05145:K09565:[EC:5.2.1.8]
10109	hsa04144:K05758:
10109	hsa04666:K05758:
10109	hsa04810:K05758:
10109	hsa05100:K05758:
10109	hsa05130:K05758:
10109	hsa05131:K05758:
10109	hsa05132:K05758:
10110	hsa04068:K13303:[EC:2.7.11.1]
10110	hsa04151:K13303:[EC:2.7.11.1]
10111	hsa03440:K10866:[EC:3.6.-.-]
10111	hsa03450:K10866:[EC:3.6.-.-]
10111	hsa04218:K10866:[EC:3.6.-.-]
10113	hsa04141:K14003:
10114	hsa04218:K08826:[EC:2.7.11.1]
10125	hsa04010:K04350:
10125	hsa04014:K04350:
10125	hsa04611:K04350:
10125	hsa04660:K04350:
10125	hsa05200:K04350:
10126	hsa05016:K10412:
10130	hsa04141:K09584:[EC:5.3.4.1]
10133	hsa04137:K19946:
10134	hsa04141:K14009:
10134	hsa05165:K14009:
10135	hsa00760:K03462:[EC:2.4.2.12]
10135	hsa04621:K03462:[EC:2.4.2.12]
10136	hsa04972:K01345:[EC:3.4.21.70]
10136	hsa04974:K01345:[EC:3.4.21.70]
1013	hsa04514:K06809:
10140	hsa03018:K14443:
10152	hsa04810:K05751:
10154	hsa04360:K06572:
10156	hsa04014:K17630:
10157	hsa00310:K14157:[EC:1.5.1.8 1.5.1.9]
10159	hsa04614:K19514:
1015	hsa05226:K06811:
10161	hsa04072:K04273:
10161	hsa04080:K04273:
10161	hsa04151:K04273:
10161	hsa05200:K04273:
10162	hsa00564:K13515:[EC:2.3.1.23 2.3.1.-]
10162	hsa04216:K13515:[EC:2.3.1.23 2.3.1.-]
10163	hsa04520:K05748:
10163	hsa04666:K05748:
10163	hsa04810:K05748:
10163	hsa05100:K05748:
10163	hsa05131:K05748:
10163	hsa05132:K05748:
10163	hsa05231:K05748:
10164	hsa00533:K04746:[EC:2.8.2.-]
10170	hsa00830:K11149:[EC:1.1.-.-]
10171	hsa03008:K11108:
1017	hsa04068:K02206:[EC:2.7.11.22]
1017	hsa04110:K02206:[EC:2.7.11.22]
1017	hsa04114:K02206:[EC:2.7.11.22]
1017	hsa04115:K02206:[EC:2.7.11.22]
1017	hsa04151:K02206:[EC:2.7.11.22]
1017	hsa04218:K02206:[EC:2.7.11.22]
1017	hsa04914:K02206:[EC:2.7.11.22]
1017	hsa04934:K02206:[EC:2.7.11.22]
1017	hsa05161:K02206:[EC:2.7.11.22]
1017	hsa05162:K02206:[EC:2.7.11.22]
1017	hsa05165:K02206:[EC:2.7.11.22]
1017	hsa05168:K02206:[EC:2.7.11.22]
1017	hsa05169:K02206:[EC:2.7.11.22]
1017	hsa05200:K02206:[EC:2.7.11.22]
1017	hsa05203:K02206:[EC:2.7.11.22]
1017	hsa05215:K02206:[EC:2.7.11.22]
1017	hsa05222:K02206:[EC:2.7.11.22]
1017	hsa05226:K02206:[EC:2.7.11.22]
10189	hsa03013:K12881:
10189	hsa03015:K12881:
10189	hsa03040:K12881:
10189	hsa05168:K12881:
101929601	hsa03008:K14570:[EC:3.1.-.-]
101929627	hsa03008:K14570:[EC:3.1.-.-]
10193	hsa04144:K11981:[EC:2.3.2.27]
10195	hsa00510:K03845:[EC:2.4.1.258]
10197	hsa03050:K06698:
10197	hsa04612:K06698:
10197	hsa05160:K06698:
10199	hsa03008:K14559:
1019	hsa01522:K02089:[EC:2.7.11.22]
1019	hsa04110:K02089:[EC:2.7.11.22]
1019	hsa04115:K02089:[EC:2.7.11.22]
1019	hsa04151:K02089:[EC:2.7.11.22]
1019	hsa04218:K02089:[EC:2.7.11.22]
1019	hsa04530:K02089:[EC:2.7.11.22]
1019	hsa04660:K02089:[EC:2.7.11.22]
1019	hsa04933:K02089:[EC:2.7.11.22]
1019	hsa04934:K02089:[EC:2.7.11.22]
1019	hsa05161:K02089:[EC:2.7.11.22]
1019	hsa05162:K02089:[EC:2.7.11.22]
1019	hsa05163:K02089:[EC:2.7.11.22]
1019	hsa05165:K02089:[EC:2.7.11.22]
1019	hsa05166:K02089:[EC:2.7.11.22]
1019	hsa05167:K02089:[EC:2.7.11.22]
1019	hsa05200:K02089:[EC:2.7.11.22]
1019	hsa05203:K02089:[EC:2.7.11.22]
1019	hsa05212:K02089:[EC:2.7.11.22]
1019	hsa05214:K02089:[EC:2.7.11.22]
1019	hsa05218:K02089:[EC:2.7.11.22]
1019	hsa05219:K02089:[EC:2.7.11.22]
1019	hsa05220:K02089:[EC:2.7.11.22]
1019	hsa05222:K02089:[EC:2.7.11.22]
1019	hsa05223:K02089:[EC:2.7.11.22]
1019	hsa05224:K02089:[EC:2.7.11.22]
1019	hsa05225:K02089:[EC:2.7.11.22]
10200	hsa03018:K12593:
10201	hsa00230:K00940:[EC:2.7.4.6]
10201	hsa00240:K00940:[EC:2.7.4.6]
10201	hsa00983:K00940:[EC:2.7.4.6]
10203	hsa04080:K04577:
10203	hsa04270:K04577:
10207	hsa04390:K06092:
10207	hsa04530:K06092:
10207	hsa05165:K06092:
10209	hsa03013:K03113:
1020	hsa04360:K02090:[EC:2.7.11.22]
1020	hsa05010:K02090:[EC:2.7.11.22]
1020	hsa05030:K02090:[EC:2.7.11.22]
10211	hsa04910:K07192:
10213	hsa03050:K03030:
10213	hsa05169:K03030:
102157402	hsa00230:K18532:[EC:2.7.4.3]
102157402	hsa03008:K18532:[EC:2.7.4.3]
1021	hsa04110:K02091:[EC:2.7.11.22]
1021	hsa04115:K02091:[EC:2.7.11.22]
1021	hsa04151:K02091:[EC:2.7.11.22]
1021	hsa04218:K02091:[EC:2.7.11.22]
1021	hsa04934:K02091:[EC:2.7.11.22]
1021	hsa05161:K02091:[EC:2.7.11.22]
1021	hsa05162:K02091:[EC:2.7.11.22]
1021	hsa05163:K02091:[EC:2.7.11.22]
1021	hsa05165:K02091:[EC:2.7.11.22]
1021	hsa05167:K02091:[EC:2.7.11.22]
1021	hsa05200:K02091:[EC:2.7.11.22]
1021	hsa05203:K02091:[EC:2.7.11.22]
1021	hsa05206:K02091:[EC:2.7.11.22]
1021	hsa05212:K02091:[EC:2.7.11.22]
1021	hsa05214:K02091:[EC:2.7.11.22]
1021	hsa05218:K02091:[EC:2.7.11.22]
1021	hsa05220:K02091:[EC:2.7.11.22]
1021	hsa05222:K02091:[EC:2.7.11.22]
1021	hsa05223:K02091:[EC:2.7.11.22]
1021	hsa05224:K02091:[EC:2.7.11.22]
1021	hsa05225:K02091:[EC:2.7.11.22]
10220	hsa04060:K22679:
10228	hsa04130:K08498:
10229	hsa00130:K06134:[EC:1.14.99.60]
1022	hsa03022:K02202:[EC:2.7.11.22 2.7.11.23]
1022	hsa03420:K02202:[EC:2.7.11.22 2.7.11.23]
1022	hsa04110:K02202:[EC:2.7.11.22 2.7.11.23]
10231	hsa04919:K17903:
10235	hsa04010:K12361:
10235	hsa04014:K12361:
10235	hsa04015:K12361:
10235	hsa04062:K12361:
10235	hsa04611:K12361:
10235	hsa05200:K12361:
10239	hsa04142:K12399:
10241	hsa04137:K21348:
10242	hsa04022:K04938:
10242	hsa04270:K04938:
10242	hsa04911:K04938:
10243	hsa00790:K15376:[EC:2.10.1.1 2.7.7.75]
10243	hsa04727:K15376:[EC:2.10.1.1 2.7.7.75]
10248	hsa03008:K14527:[EC:3.1.26.5]
10248	hsa03013:K14527:[EC:3.1.26.5]
10249	hsa00360:K00628:[EC:2.3.1.13 2.3.1.71]
10250	hsa03013:K13171:
10250	hsa03015:K13171:
10253	hsa05206:K17383:
10254	hsa04144:K04705:
10254	hsa04630:K04705:
10257	hsa01523:K05673:
10257	hsa02010:K05673:
10257	hsa04024:K05673:
10257	hsa04976:K05673:
1025	hsa05202:K02211:[EC:2.7.11.22 2.7.11.23]
10262	hsa03040:K12831:
10266	hsa04270:K08448:
10267	hsa04270:K08447:
10268	hsa04270:K08449:
10269	hsa00900:K06013:[EC:3.4.24.84]
1026	hsa01522:K06625:
1026	hsa01524:K06625:
1026	hsa04012:K06625:
1026	hsa04066:K06625:
1026	hsa04068:K06625:
1026	hsa04110:K06625:
1026	hsa04115:K06625:
1026	hsa04151:K06625:
1026	hsa04218:K06625:
1026	hsa04630:K06625:
1026	hsa04921:K06625:
1026	hsa04928:K06625:
1026	hsa04934:K06625:
1026	hsa05160:K06625:
1026	hsa05161:K06625:
