gene	GO_id	name	namespace
GPR75	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR78	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR82	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR83	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR84	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR85	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR87	GO:0004930	G protein-coupled receptor activity	molecular_function
GPR88	GO:0004930	G protein-coupled receptor activity	molecular_function
GPRC5A	GO:0004930	G protein-coupled receptor activity	molecular_function
GPRC5B	GO:0004930	G protein-coupled receptor activity	molecular_function
GPRC5C	GO:0004930	G protein-coupled receptor activity	molecular_function
GPRC5D	GO:0004930	G protein-coupled receptor activity	molecular_function
GPRC6A	GO:0004930	G protein-coupled receptor activity	molecular_function
GRM1	GO:0004930	G protein-coupled receptor activity	molecular_function
GRM2	GO:0004930	G protein-coupled receptor activity	molecular_function
GRM3	GO:0004930	G protein-coupled receptor activity	molecular_function
GRM4	GO:0004930	G protein-coupled receptor activity	molecular_function
GRM5	GO:0004930	G protein-coupled receptor activity	molecular_function
GRM6	GO:0004930	G protein-coupled receptor activity	molecular_function
GRM7	GO:0004930	G protein-coupled receptor activity	molecular_function
GRM8	GO:0004930	G protein-coupled receptor activity	molecular_function
GRPR	GO:0004930	G protein-coupled receptor activity	molecular_function
HCAR1	GO:0004930	G protein-coupled receptor activity	molecular_function
HCAR2	GO:0004930	G protein-coupled receptor activity	molecular_function
HCAR3	GO:0004930	G protein-coupled receptor activity	molecular_function
HCRTR1	GO:0004930	G protein-coupled receptor activity	molecular_function
HCRTR2	GO:0004930	G protein-coupled receptor activity	molecular_function
HRH1	GO:0004930	G protein-coupled receptor activity	molecular_function
HRH2	GO:0004930	G protein-coupled receptor activity	molecular_function
HRH3	GO:0004930	G protein-coupled receptor activity	molecular_function
HRH4	GO:0004930	G protein-coupled receptor activity	molecular_function
HTR1B	GO:0004930	G protein-coupled receptor activity	molecular_function
HTR1D	GO:0004930	G protein-coupled receptor activity	molecular_function
HTR1E	GO:0004930	G protein-coupled receptor activity	molecular_function
HTR1F	GO:0004930	G protein-coupled receptor activity	molecular_function
HTR2A	GO:0004930	G protein-coupled receptor activity	molecular_function
HTR2B	GO:0004930	G protein-coupled receptor activity	molecular_function
HTR2C	GO:0004930	G protein-coupled receptor activity	molecular_function
HTR4	GO:0004930	G protein-coupled receptor activity	molecular_function
HTR5A	GO:0004930	G protein-coupled receptor activity	molecular_function
HTR6	GO:0004930	G protein-coupled receptor activity	molecular_function
HTR7	GO:0004930	G protein-coupled receptor activity	molecular_function
KISS1R	GO:0004930	G protein-coupled receptor activity	molecular_function
LPAR5	GO:0004930	G protein-coupled receptor activity	molecular_function
LANCL1	GO:0004930	G protein-coupled receptor activity	molecular_function
LGR4	GO:0004930	G protein-coupled receptor activity	molecular_function
LGR6	GO:0004930	G protein-coupled receptor activity	molecular_function
LHCGR	GO:0004930	G protein-coupled receptor activity	molecular_function
LPAR1	GO:0004930	G protein-coupled receptor activity	molecular_function
LPAR2	GO:0004930	G protein-coupled receptor activity	molecular_function
LPAR3	GO:0004930	G protein-coupled receptor activity	molecular_function
LPAR4	GO:0004930	G protein-coupled receptor activity	molecular_function
LPAR6	GO:0004930	G protein-coupled receptor activity	molecular_function
LTB4R2	GO:0004930	G protein-coupled receptor activity	molecular_function
LTB4R	GO:0004930	G protein-coupled receptor activity	molecular_function
MAS1L	GO:0004930	G protein-coupled receptor activity	molecular_function
MAS1	GO:0004930	G protein-coupled receptor activity	molecular_function
MC1R	GO:0004930	G protein-coupled receptor activity	molecular_function
MC2R	GO:0004930	G protein-coupled receptor activity	molecular_function
MC3R	GO:0004930	G protein-coupled receptor activity	molecular_function
MC4R	GO:0004930	G protein-coupled receptor activity	molecular_function
MC5R	GO:0004930	G protein-coupled receptor activity	molecular_function
MCHR1	GO:0004930	G protein-coupled receptor activity	molecular_function
MCHR2	GO:0004930	G protein-coupled receptor activity	molecular_function
MRGPRX1	GO:0004930	G protein-coupled receptor activity	molecular_function
MLNR	GO:0004930	G protein-coupled receptor activity	molecular_function
MRGPRD	GO:0004930	G protein-coupled receptor activity	molecular_function
MRGPRE	GO:0004930	G protein-coupled receptor activity	molecular_function
MRGPRF	GO:0004930	G protein-coupled receptor activity	molecular_function
MRGPRG	GO:0004930	G protein-coupled receptor activity	molecular_function
MRGPRX2	GO:0004930	G protein-coupled receptor activity	molecular_function
MRGPRX3	GO:0004930	G protein-coupled receptor activity	molecular_function
MRGPRX4	GO:0004930	G protein-coupled receptor activity	molecular_function
MTNR1A	GO:0004930	G protein-coupled receptor activity	molecular_function
MTNR1B	GO:0004930	G protein-coupled receptor activity	molecular_function
NMBR	GO:0004930	G protein-coupled receptor activity	molecular_function
NMUR1	GO:0004930	G protein-coupled receptor activity	molecular_function
NMUR2	GO:0004930	G protein-coupled receptor activity	molecular_function
NPBWR1	GO:0004930	G protein-coupled receptor activity	molecular_function
NPBWR2	GO:0004930	G protein-coupled receptor activity	molecular_function
NPFFR1	GO:0004930	G protein-coupled receptor activity	molecular_function
NPFFR2	GO:0004930	G protein-coupled receptor activity	molecular_function
NPSR1	GO:0004930	G protein-coupled receptor activity	molecular_function
NPY1R	GO:0004930	G protein-coupled receptor activity	molecular_function
NPY2R	GO:0004930	G protein-coupled receptor activity	molecular_function
NPY4R	GO:0004930	G protein-coupled receptor activity	molecular_function
NPY5R	GO:0004930	G protein-coupled receptor activity	molecular_function
NPY	GO:0004930	G protein-coupled receptor activity	molecular_function
NTSR1	GO:0004930	G protein-coupled receptor activity	molecular_function
NTSR2	GO:0004930	G protein-coupled receptor activity	molecular_function
OPN1LW	GO:0004930	G protein-coupled receptor activity	molecular_function
OPN1MW2	GO:0004930	G protein-coupled receptor activity	molecular_function
OPN1MW	GO:0004930	G protein-coupled receptor activity	molecular_function
OPN1SW	GO:0004930	G protein-coupled receptor activity	molecular_function
OPN3	GO:0004930	G protein-coupled receptor activity	molecular_function
OPN4	GO:0004930	G protein-coupled receptor activity	molecular_function
OPN5	GO:0004930	G protein-coupled receptor activity	molecular_function
OPRD1	GO:0004930	G protein-coupled receptor activity	molecular_function
OPRK1	GO:0004930	G protein-coupled receptor activity	molecular_function
OPRL1	GO:0004930	G protein-coupled receptor activity	molecular_function
OPRM1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10A2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10A3	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10A4	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10A5	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10A6	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10A7	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10AC1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10AD1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10AG1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10C1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10D3	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10D4P	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10G2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10G3	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10G4	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10G6	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10G7	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10G8	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10G9	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10H1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10H2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10H3	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10H4	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10H5	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10J1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10J3	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10J4	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10J5	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10J6P	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10K1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10K2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10P1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10Q1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10R2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10S1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10T2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10V1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10W1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10X1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR10Z1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR11A1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR11G2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR11H12	GO:0004930	G protein-coupled receptor activity	molecular_function
OR11H1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR11H2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR11H4	GO:0004930	G protein-coupled receptor activity	molecular_function
OR11H6	GO:0004930	G protein-coupled receptor activity	molecular_function
OR11H7	GO:0004930	G protein-coupled receptor activity	molecular_function
OR11L1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR12D1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR12D2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR12D3	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13A1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13C2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13C3	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13C4	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13C5	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13C6P	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13C7	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13C8	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13C9	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13D1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13F1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13G1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13H1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR13J1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR14A16	GO:0004930	G protein-coupled receptor activity	molecular_function
OR14A2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR14C36	GO:0004930	G protein-coupled receptor activity	molecular_function
OR14I1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR14J1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR14K1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR14L1P	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1A1	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1A2	GO:0004930	G protein-coupled receptor activity	molecular_function
OR1B1	GO:0004930	G protein-coupled receptor activity	molecular_function
