Lineage	PATH
Protists	ko00770
Protists	ko00780
Protists	ko00785
Protists	ko00790
Protists	ko00860
Protists	ko00900
Protists	ko00910
Protists	ko00970
Protists	ko01040
Protists	ko02010
Protists	ko03008
Protists	ko03010
Protists	ko03013
Protists	ko03015
Protists	ko03018
Protists	ko03020
Protists	ko03022
Protists	ko03030
Protists	ko03040
Protists	ko03050
Protists	ko03060
Protists	ko03410
Protists	ko03420
Protists	ko03430
Protists	ko03440
Protists	ko03450
Protists	ko04070
Protists	ko04120
Protists	ko04122
Protists	ko04130
Protists	ko04136
Protists	ko04141
Protists	ko04144
Protists	ko04145
Protists	ko04146
Protists	ko04933
Protists	ko05144
Protists	ko05145
Protists	ko00100
Protists	ko00340
Protists	ko00350
Protists	ko00360
Protists	ko00430
Protists	ko00511
Protists	ko00531
Protists	ko00603
Protists	ko00920
Protists	ko00232
Protists	ko00514
Protists	ko00073
Protists	ko00471
Protists	ko00515
Protists	ko00591
Protists	ko00472
Protists	ko05146
Protists	ko00601
Protists	ko00524
Protists	ko05140
Protists	ko05142
Protists	ko05143
Protists	ko00195
Protists	ko00710
Archaea	ko00010
Archaea	ko00020
Archaea	ko00030
Archaea	ko00040
Archaea	ko00051
Archaea	ko00052
Archaea	ko00061
Archaea	ko00071
Archaea	ko00072
Archaea	ko00130
Archaea	ko00190
Archaea	ko00220
Archaea	ko00230
Archaea	ko00240
Archaea	ko00250
Archaea	ko00260
Archaea	ko00261
Archaea	ko00270
Archaea	ko00280
Archaea	ko00281
Archaea	ko00290
Archaea	ko00300
Archaea	ko00310
Archaea	ko00330
Archaea	ko00340
Archaea	ko00350
Archaea	ko00360
Archaea	ko00362
Archaea	ko00400
Archaea	ko00401
Archaea	ko00410
Archaea	ko00450
Archaea	ko00472
Archaea	ko00500
Archaea	ko00520
Archaea	ko00521
Archaea	ko00523
Archaea	ko00562
Archaea	ko00564
Archaea	ko00592
Archaea	ko00620
Archaea	ko00630
Archaea	ko00633
Archaea	ko00640
Archaea	ko00650
Archaea	ko00660
Archaea	ko00670
Archaea	ko00680
Archaea	ko00720
Archaea	ko00730
Archaea	ko00740
Archaea	ko00760
Archaea	ko00770
Archaea	ko00780
Archaea	ko00790
Archaea	ko00860
Archaea	ko00900
Archaea	ko00909
Archaea	ko00910
Archaea	ko00970
Archaea	ko01040
Archaea	ko02010
Archaea	ko02020
Archaea	ko02024
Archaea	ko03010
Archaea	ko03015
Archaea	ko03018
Archaea	ko03020
Archaea	ko03022
Archaea	ko03030
Archaea	ko03050
Archaea	ko03060
Archaea	ko03070
Archaea	ko03410
Archaea	ko03420
Archaea	ko03430
Archaea	ko04122
Archaea	ko00053
Archaea	ko00361
Archaea	ko00364
Archaea	ko00380
Archaea	ko00430
Archaea	ko00460
Archaea	ko00480
Archaea	ko00511
Archaea	ko00525
Archaea	ko00622
Archaea	ko00623
Archaea	ko00625
Archaea	ko00626
Archaea	ko00627
Archaea	ko00643
Archaea	ko00750
Archaea	ko00906
Archaea	ko00920
Archaea	ko00561
Archaea	ko00600
Archaea	ko00785
Archaea	ko03440
Archaea	ko01502
Archaea	ko00514
Archaea	ko00515
Archaea	ko02060
Archaea	ko00565
Archaea	ko00365
Archaea	ko01054
Archaea	ko00601
Archaea	ko02030
Archaea	ko03450
Archaea	ko01501
Archaea	ko00405
Archaea	ko00440
Archaea	ko00100
Archaea	ko00332
Archaea	ko00621
Archaea	ko00121
Archaea	ko00311
Archaea	ko01053
Archaea	ko00471
Archaea	ko00590
Archaea	ko01503
Archaea	ko01059
Archaea	ko00624
Archaea	ko00642
Archaea	ko01055
Bacteria	ko00010
Bacteria	ko00020
Bacteria	ko00030
Bacteria	ko00040
Bacteria	ko00051
Bacteria	ko00052
Bacteria	ko00053
Bacteria	ko00061
Bacteria	ko00071
Bacteria	ko00072
Bacteria	ko00130
Bacteria	ko00190
Bacteria	ko00220
Bacteria	ko00230
Bacteria	ko00240
Bacteria	ko00250
Bacteria	ko00260
Bacteria	ko00261
Bacteria	ko00270
Bacteria	ko00280
Bacteria	ko00281
Bacteria	ko00290
Bacteria	ko00300
Bacteria	ko00310
Bacteria	ko00311
Bacteria	ko00330
Bacteria	ko00340
Bacteria	ko00350
Bacteria	ko00360
Bacteria	ko00361
Bacteria	ko00362
Bacteria	ko00364
Bacteria	ko00380
Bacteria	ko00400
Bacteria	ko00401
Bacteria	ko00405
Bacteria	ko00410
Bacteria	ko00430
Bacteria	ko00450
Bacteria	ko00460
Bacteria	ko00471
Bacteria	ko00473
Bacteria	ko00480
Bacteria	ko00500
Bacteria	ko00511
Bacteria	ko00520
Bacteria	ko00521
Bacteria	ko00523
Bacteria	ko00525
Bacteria	ko00540
Bacteria	ko00550
Bacteria	ko00561
Bacteria	ko00562
Bacteria	ko00564
Bacteria	ko00592
Bacteria	ko00600
Bacteria	ko00620
Bacteria	ko00623
Bacteria	ko00625
Bacteria	ko00626
Bacteria	ko00627
Bacteria	ko00630
Bacteria	ko00633
Bacteria	ko00640
Bacteria	ko00643
Bacteria	ko00650
Bacteria	ko00660
Bacteria	ko00670
Bacteria	ko00680
Bacteria	ko00730
Bacteria	ko00740
Bacteria	ko00750
Bacteria	ko00760
Bacteria	ko00770
Bacteria	ko00780
Bacteria	ko00785
Bacteria	ko00790
Bacteria	ko00860
Bacteria	ko00900
Bacteria	ko00906
Bacteria	ko00909
Bacteria	ko00910
Bacteria	ko00920
Bacteria	ko00970
Bacteria	ko01040
Bacteria	ko01501
Bacteria	ko01502
Bacteria	ko01503
Bacteria	ko02010
Bacteria	ko02020
Bacteria	ko02024
Bacteria	ko02030
Bacteria	ko02040
Bacteria	ko03010
Bacteria	ko03018
Bacteria	ko03020
Bacteria	ko03030
Bacteria	ko03060
Bacteria	ko03070
Bacteria	ko03410
Bacteria	ko03420
Bacteria	ko03430
Bacteria	ko03440
Bacteria	ko03450
Bacteria	ko04122
Bacteria	ko00332
Bacteria	ko00472
Bacteria	ko00590
Bacteria	ko00903
Bacteria	ko00930
Bacteria	ko02060
Bacteria	ko00100
Bacteria	ko00440
Bacteria	ko00622
Bacteria	ko00791
Bacteria	ko01053
Bacteria	ko01054
Bacteria	ko01055
Bacteria	ko00710
Bacteria	ko01051
Bacteria	ko03050
Bacteria	ko00514
Bacteria	ko00515
Bacteria	ko00253
Bacteria	ko00984
Bacteria	ko00999
Bacteria	ko01056
Bacteria	ko01059
Bacteria	ko00121
Bacteria	ko00565
Bacteria	ko00621
Bacteria	ko00624
Bacteria	ko01052
Bacteria	ko01057
Bacteria	ko04933
Bacteria	ko00365
Bacteria	ko00232
Bacteria	ko00642
Bacteria	ko00331
