Entry	code	Scientific_name	txid	Common_name	Taxonomic_classification
T04362	bim	Bombus impatiens	132113	common eastern bumble bee	Eukaryotes; Animals; Arthropods; Insects
T04364	bter	Bombus terrestris	30195	buff-tailed bumblebee	Eukaryotes; Animals; Arthropods; Insects
T03916	soc	Solenopsis invicta	13686	red fire ant	Eukaryotes; Animals; Arthropods; Insects
T03917	aec	Acromyrmex echinatior	103372	Panamanian leafcutter ant	Eukaryotes; Animals; Arthropods; Insects
T04923	acep	Atta cephalotes	12957	leaf cutting ant	Eukaryotes; Animals; Arthropods; Insects
T04903	pbar	Pogonomyrmex barbatus	144034	red harvester ant	Eukaryotes; Animals; Arthropods; Insects
T03918	hst	Harpegnathos saltator	610380	Jerdon's jumping ant	Eukaryotes; Animals; Arthropods; Insects
T03919	cfo	Camponotus floridanus	104421	Florida carpenter ant	Eukaryotes; Animals; Arthropods; Insects
T04898	lhu	Linepithema humile	83485	Argentine ant	Eukaryotes; Animals; Arthropods; Insects
T05003	pgc	Pseudomyrmex gracilis	219809		Eukaryotes; Animals; Arthropods; Insects
T01081	nvi	Nasonia vitripennis	7425	jewel wasp	Eukaryotes; Animals; Arthropods; Insects
T01046	tca	Tribolium castaneum	7070	red flour beetle	Eukaryotes; Animals; Arthropods; Insects
T04899	dpa	Dendroctonus ponderosae	77166	mountain pine beetle	Eukaryotes; Animals; Arthropods; Insects
T04922	nvl	Nicrophorus vespilloides	110193		Eukaryotes; Animals; Arthropods; Insects
T02817	bmor	Bombyx mori	7091	domestic silkworm	Eukaryotes; Animals; Arthropods; Insects
T04344	dpl	Danaus plexippus	13037	monarch butterfly	Eukaryotes; Animals; Arthropods; Insects
T05138	pmac	Papilio machaon	76193	common yellow swallowtail	Eukaryotes; Animals; Arthropods; Insects
T05162	prap	Pieris rapae	64459	cabbage white	Eukaryotes; Animals; Arthropods; Insects
T03915	pxy	Plutella xylostella	51655	diamondback moth	Eukaryotes; Animals; Arthropods; Insects
T01076	api	Acyrthosiphon pisum	7029	pea aphid	Eukaryotes; Animals; Arthropods; Insects
T04900	dnx	Diuraphis noxia	143948	Russian wheat aphid	Eukaryotes; Animals; Arthropods; Insects
T01223	phu	Pediculus humanus corporis		human body louse	Eukaryotes; Animals; Arthropods; Insects
T05136	zne	Zootermopsis nevadensis	136037		Eukaryotes; Animals; Arthropods; Insects
T05043	fcd	Folsomia candida	158441		Eukaryotes; Animals; Arthropods; Insects
T04347	dpx	Daphnia pulex	6669	common water flea	Eukaryotes; Animals; Arthropods; Crustaceans
T01131	isc	Ixodes scapularis	6945	black-legged tick	Eukaryotes; Animals; Arthropods; Mites and ticks
T04901	tut	Tetranychus urticae	32264	two-spotted spider mite	Eukaryotes; Animals; Arthropods; Mites and ticks
T00019	cel	Caenorhabditis elegans	6239	nematode	Eukaryotes; Animals; Nematodes
T01054	cbr	Caenorhabditis briggsae	6238		Eukaryotes; Animals; Nematodes
