Pseudocercospora fijiensis	1873960
Baudoinia panamericana	1709381
Neofusicoccum parvum	310453
Tuber melanosporum	39416
Schizosaccharomyces pombe	4896
Cryptococcus neoformans	5207
Cryptococcus gattii VGI	37769
Tremella mesenterica	5217
Postia placenta	104341
Trametes versicolor	5325
Dichomitus squalens	114155
Phanerochaete carnosa	231932
Stereum hirsutum	40492
Heterobasidion irregulare	984962
Punctularia strigosozonata	202698
Auricularia subglabra	1331295
Fomitiporia mediterranea	208960
Gloeophyllum trabeum	104355
Laccaria bicolor	29883
Moniliophthora perniciosa	153609
Moniliophthora roreri	221103
Coprinopsis cinerea	5346
Schizophyllum commune	5334
Agaricus bisporus	5341
Coniophora puteana	80637
Serpula lacrymans	85982
Wallemia mellicola	1708541
Wallemia ichthyophaga	245174
Ustilago maydis	5270
Anthracocystis flocculosa	84751
Malassezia globosa	76773
Puccinia graminis	5297
Melampsora larici-populina	203908
Encephalitozoon cuniculi	6035
Encephalitozoon intestinalis	58839
Encephalitozoon hellem	27973
Encephalitozoon romaleae	571949
Nosema ceranae	40302
Monosiga brevicollis	81824
Salpingoeca rosetta	946362
Dictyostelium discoideum	44689
Dictyostelium purpureum	5786
Cavenderia fasciculata	261658
Entamoeba histolytica	5759
Entamoeba dispar	46681
Entamoeba invadens	33085
Acanthamoeba castellanii	5755
Plasmodium falciparum	5833
Plasmodium yoelii	5861
Plasmodium chabaudi	5825
Plasmodium berghei	5821
Plasmodium knowlesi	5850
Plasmodium vivax	5855
Plasmodium cynomolgi	5827
Theileria annulata	5874
Theileria parva	5875
Theileria orientalis	68886
Theileria equi	5872
Babesia bovis	5865
Babesia microti	5868
Cryptosporidium parvum	5807
Cryptosporidium hominis	237895
Toxoplasma gondii	5811
Tetrahymena thermophila	5911
Paramecium tetraurelia	5888
Symbiodinium minutum	1202447
Phaeodactylum tricornutum	2850
Fragilariopsis cylindrus	186039
Thalassiosira pseudonana	35128
Aureococcus anophagefferens	44056
Nannochloropsis gaditana	72520
Phytophthora infestans	4787
Phytophthora sojae	67593
Saprolegnia parasitica	101203
Emiliania huxleyi	2903
Guillardia theta	55529
Trypanosoma brucei	5691
Trypanosoma cruzi	5693
Leishmania major	5664
Leishmania infantum	5671
Leishmania donovani	5661
Leishmania mexicana	5665
Leishmania braziliensis	5660
Naegleria gruberi	5762
Trichomonas vaginalis	5722
Giardia intestinalis	5741
Escherichia coli	562
Escherichia fergusonii	564
Escherichia albertii	208962
Escherichia marmotae	1499973
Salmonella enterica	28901
Salmonella bongori	54736
Shigella flexneri	623
Shigella sonnei	624
Shigella boydii	621
Shigella dysenteriae	622
Shigella sp. PAMC 28760	1813821
Enterobacter sp. 638	399742
Enterobacter cloacae	550
Enterobacter hormaechei	158836
Enterobacter asburiae	61645
Enterobacter kobei	208224
Enterobacter ludwigii	299767
Enterobacter cloacae complex sp. 35734	1870930
Enterobacter cancerogenus	69218
Enterobacter roggenkampii	1812935
Enterobacter sp. R4-368	1166130
Enterobacter sp. E20	1560339
Enterobacter sp. FY-07	1692238
Cronobacter sakazakii	28141
Cronobacter condimenti	1163710
Cronobacter dublinensis	413497
Cronobacter malonaticus	413503
Cronobacter universalis	535744
Cronobacter muytjensii	413501
Cronobacter turicensis	413502
Klebsiella pneumoniae	573
Klebsiella variicola	244366
Klebsiella michiganensis	1134687
Klebsiella oxytoca	571
Klebsiella quasipneumoniae	1463165
[Enterobacter] aerogenes	548
Klebsiella quasivariicola	2026240
Citrobacter koseri	545
Citrobacter rodentium	67825
Citrobacter freundii	546
Citrobacter braakii	57706
Citrobacter werkmanii	67827
Citrobacter youngae	133448
Citrobacter amalonaticus	35703
Citrobacter sp. FDAARGOS 156	
Citrobacter farmeri	67824
Citrobacter sp. CFNIH10	1920110
Citrobacter sp. CRE-46	1703250
Gibbsiella quercinecans	929813
Candidatus Blochmannia floridanus	203907
Candidatus Blochmannia pennsylvanicus	101534
Candidatus Blochmannia vafer	251535
Candidatus Blochmannia chromaiodes	251542
Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus	1505597
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri	1505596
Candidatus Hamiltonella defensa	138072
secondary endosymbiont of Ctenarytaina eucalypti	1199245
secondary endosymbiont of Heteropsylla cubana	134287
secondary endosymbiont of Trabutina mannipara	1835721
Candidatus Riesia pediculicola	401619
Candidatus Riesia sp. GBBU	1719125
Candidatus Moranella endobia	1048758
Shimwellia blattae	563
Raoultella ornithinolytica	54291
Raoultella planticola	575
Raoultella sp. X13	2259647
Cedecea neteri	158822
Pluralibacter gergoviae	61647
[Enterobacter] lignolyticus	1334193
Kosakonia sacchari	1158459
Kosakonia oryzae	497725
Kosakonia radicincitans	283686
Kosakonia cowanii	208223
Kluyvera intermedia	61648
Kluyvera georgiana	73098
Candidatus Ishikawaella capsulata	168169
Leclercia adecarboxylata	83655
Leclercia sp. LSNIH1	1920114
Leclercia sp. LSNIH3	1920116
Lelliottia amnigena	61646
Lelliottia jeotgali	1907578
Lelliottia nimipressuralis	69220
Lelliottia sp. WB101	2153385
Limnobaculum parvum	2172103
Candidatus Tachikawaea gelatinosa	1410383
Candidatus Doolittlea endobia	1778262
Candidatus Hoaglandella endobia	1778263
Candidatus Gullanella endobia	1070130
Candidatus Mikella endobia	1778264
Enterobacteriaceae bacterium strain FGI 57	693444
Enterobacteriaceae bacterium ENNIH2	1920109
Plautia stali symbiont	891974
Yersinia pestis	632
Yersinia pseudotuberculosis	633
Yersinia enterocolitica	630
Yersinia similis	367190
Yersinia aldovae	29483
Yersinia frederiksenii	29484
Yersinia intermedia	631
Yersinia kristensenii	28152
Yersinia rohdei	29485
Yersinia ruckeri	29486
Yersinia aleksiciae	263819
Yersinia massiliensis	419257
Serratia proteamaculans	28151
Serratia plymuthica	82996
Serratia sp. AS12	768490
Serratia sp. AS13	768493
Serratia symbiotica	138074
Serratia sp. FGI94	671990
Serratia marcescens	615
Serratia liquefaciens	614
Serratia sp. FS14	1327989
Serratia sp. SCBI	488142
Serratia fonticola	47917
Serratia rubidaea	61652
Serratia sp. ATCC 39006	104623
Serratia sp. MYb239	2033438
Chania multitudinisentens	1639108
Rahnella sp. Y9602	741091
Rahnella aquatilis	34038
Rouxiella sp. ERMR1:05	1805933
Pectobacterium atrosepticum	29471
Pectobacterium carotovorum	554
Pectobacterium parmentieri	1905730
Pectobacterium wasabiae	55208
Pectobacterium polaris	2042057
Sodalis glossinidius	63612
Sodalis praecaptivus	1239307
Candidatus Sodalis pierantonius	1486991
Sodalis endosymbiont of Henestaris halophilus	1929246
Dickeya paradisiaca	69223
Dickeya dadantii	204038
Dickeya chrysanthemi	556
Dickeya zeae	204042
Dickeya solani	1089444
Dickeya dianthicola	204039
Dickeya fangzhongdai	1778540
Brenneria goodwinii	1109412
Erwinia tasmaniensis	338565
Erwinia pyrifoliae	79967
Erwinia amylovora	552
Erwinia billingiae	182337
Erwinia sp. Ejp617	215689
Erwinia gerundensis	1619313
Buchnera aphidicola	9
Wigglesworthia glossinidia	51229
Pantoea ananatis	553
Pantoea vagans	470934
Pantoea sp. At-9b	592316
Pantoea rwandensis	1076550
Pantoea sp. PSNIH1	1484158
Pantoea sp. PSNIH2	1484157
Candidatus Pantoea carbekii	1235990
Pantoea agglomerans	549
Pantoea stewartii	66269
Pantoea alhagi	1891675
Pantoea gaviniae	665914
Pantoea calida	665913
Tatumella citrea	53336
Tatumella ptyseos	82987
Photorhabdus laumondii	2218628
Photorhabdus asymbiotica	291112
Photorhabdus thracensis	230089
Proteus mirabilis	584
Proteus vulgaris	585
Xenorhabdus bovienii	40576
Xenorhabdus nematophila	628
Xenorhabdus doucetiae	351671
Xenorhabdus poinarii	40577
Xenorhabdus hominickii	351679
Providencia stuartii	588
Providencia rettgeri	587
Providencia alcalifaciens	126385
Providencia heimbachae	333962
Morganella morganii	582
Arsenophonus symbiont of Lipoptena fortisetosa	634113
Edwardsiella ictaluri	67780
Edwardsiella tarda	636
Edwardsiella anguillarum	1821960
Edwardsiella piscicida	1263550
Edwardsiella sp. EA181011	1578828
Edwardsiella sp. LADL05-105	1650654
Edwardsiella hoshinae	93378
Hafnia alvei	569
Obesumbacterium proteus	82983
Pragia fontium	82985
Leminorella richardii	158841
Plesiomonas shigelloides	703
Haemophilus influenzae	727
Haemophilus parainfluenzae	729
[Haemophilus] ducreyi	730
Glaesserella parasuis	738
Histophilus somni	731
Pasteurella multocida	747
Pasteurella dagmatis	754
Mannheimia succiniciproducens	157673
Mannheimia haemolytica	75985
Mannheimia sp. USDA-ARS-USMARC-1261	1432056
Mannheimia varigena	85404
Actinobacillus pleuropneumoniae	715
Actinobacillus succinogenes	67854
Actinobacillus suis	716
Actinobacillus equuli	718
Actinobacillus porcitonsillarum	189834
Aggregatibacter aphrophilus	732
Aggregatibacter actinomycetemcomitans	714
Gallibacterium anatis	750
Bibersteinia trehalosi	47735
Xylella fastidiosa	2371
Xanthomonas campestris	339
Xanthomonas euvesicatoria	456327
Xanthomonas citri	346
Xanthomonas axonopodis	53413
Xanthomonas oryzae	347
Xanthomonas albilineans	29447
Xanthomonas sacchari	56458
Xanthomonas translucens	343
Xanthomonas fragariae	48664
Xanthomonas gardneri	90270
Xanthomonas vesicatoria	56460
Xanthomonas perforans	442694
Xanthomonas hortorum	56454
Xanthomonas phaseoli	1985254
Xanthomonas vasicola	56459
Stenotrophomonas maltophilia	40324
Stenotrophomonas acidaminiphila	128780
Stenotrophomonas sp. KCTC 12332	1793721
Stenotrophomonas rhizophila	216778
Stenotrophomonas sp. LM091	1904944
Stenotrophomonas sp. WZN-1	2005046
Stenotrophomonas sp. MYb57	1827305
Pseudoxanthomonas suwonensis	314722
Pseudoxanthomonas spadix	415229
Lysobacter antibioticus	84531
Lysobacter capsici	435897
Lysobacter gummosus	262324
Lysobacter enzymogenes	69
Lysobacter maris	1605891
Luteimonas sp. 100111	2006110
Luteimonas sp. 83-4	2172536
Frateuria aurantia	81475
Rhodanobacter denitrificans	666685
Dyella jiangningensis	1379159
Dyella japonica	231455
Dyella thiooxydans	445710
Dokdonella koreensis	323415
Luteibacter rhizovicinus	242606
Ahniella affigens	2021234
Vibrio cholerae	666
Vibrio vulnificus	672
Vibrio parahaemolyticus	670
Vibrio campbellii	680
Vibrio alginolyticus	663
Vibrio sp. Ex25	150340
Vibrio harveyi	669
Vibrio natriegens	691
Vibrio owensii	696485
Vibrio rotiferianus	190895
Vibrio diabolicus	50719
Vibrio tasmaniensis	212663
Vibrio sp. EJY3	1116375
Vibrio furnissii	29494
Vibrio nigripulchritudo	28173
Vibrio anguillarum	55601
Vibrio coralliilyticus	190893
Vibrio tubiashii	29498
Vibrio fluvialis	676
Vibrio mimicus	674
Vibrio breoganii	553239
Vibrio scophthalmi	45658
Vibrio gazogenes	687
Vibrio shilonii	62153
Vibrio qinghaiensis	2025808
Vibrio tapetis	52443
Aliivibrio fischeri	668
Aliivibrio salmonicida	40269
Aliivibrio wodanis	80852
Photobacterium profundum	74109
Photobacterium gaetbulicola	1295392
Photobacterium damselae	38293
Grimontia hollisae	673
Paraphotobacterium marinum	1755811
Pseudomonas aeruginosa	287
Pseudomonas mendocina	300
Pseudomonas resinovorans	53412
Pseudomonas pseudoalcaligenes	330
Pseudomonas alcaligenes	43263
Pseudomonas citronellolis	53408
Pseudomonas putida	303
Pseudomonas fulva	47880
Pseudomonas monteilii	76759
Pseudomonas mosselii	78327
Pseudomonas plecoglossicida	70775
Pseudomonas oryzihabitans	47885
Pseudomonas syringae group genomosp. 3	251701
Pseudomonas syringae	317
Pseudomonas savastanoi	29438
Pseudomonas amygdali	47877
Pseudomonas cichorii	36746
Pseudomonas avellanae	46257
Pseudomonas protegens	380021
Pseudomonas fluorescens	294
Pseudomonas poae	200451
Pseudomonas synxantha	47883
Pseudomonas mandelii	75612
Pseudomonas trivialis	200450
Pseudomonas corrugata	47879
Pseudomonas veronii	76761
Pseudomonas azotoformans	47878
Pseudomonas orientalis	76758
Pseudomonas entomophila	312306
Pseudomonas stutzeri	316
Pseudomonas balearica	74829
Pseudomonas brassicacearum	930166
Pseudomonas sp. UW4	1207075
Pseudomonas sp. ATCC 13867	1294143
Pseudomonas sp. VLB120	69328
Pseudomonas sp. TKP	1415630
Pseudomonas knackmussii	65741
Pseudomonas chlororaphis	587753
Pseudomonas fragi	296
Pseudomonas lundensis	86185
Pseudomonas alkylphenolia	237609
Pseudomonas rhizosphaerae	216142
Pseudomonas cremoricolorata	157783
Pseudomonas parafulva	157782
Pseudomonas sp. StFLB209	1028989
Pseudomonas sp. MRSN12121	1611770
Pseudomonas sp. CCOS 191	1649877
Pseudomonas versuta	1788301
Pseudomonas sp. Os17	1500686
Pseudomonas koreensis	198620
Pseudomonas frederiksbergensis	104087
Pseudomonas antarctica	219572
Pseudomonas psychrotolerans	237610
Pseudomonas sp. TCU-HL1	1856685
Pseudomonas silesiensis	1853130
Azotobacter vinelandii	354
Azotobacter chroococcum	353
Oblitimonas alkaliphila	1697053
Psychrobacter arcticus	334543
Psychrobacter cryohalolentis	330922
Psychrobacter sp. PRwf-1	349106
Psychrobacter sp. G	571800
Psychrobacter urativorans	45610
Psychrobacter alimentarius	261164
Psychrobacter sp. P2G3	1699622
Psychrobacter sp. P11G5	1699624
Psychrobacter sp. DAB AL43B	
Psychrobacter sp. AntiMn-1	1720344
Psychrobacter sp. YP14	2203895
Acinetobacter baumannii	470
Acinetobacter pittii	48296
Acinetobacter nosocomialis	106654
Acinetobacter lactucae	1785128
Acinetobacter calcoaceticus	471
Acinetobacter oleivorans	1148157
Acinetobacter sp. ADP1	62977
Acinetobacter sp. TTH0-4	1646498
Acinetobacter equi	1324350
Acinetobacter johnsonii	40214
Acinetobacter sp. DUT-2	1809055
Acinetobacter sp. TGL-Y2	1407071
Acinetobacter haemolyticus	29430
Acinetobacter junii	40215
Acinetobacter soli	487316
Acinetobacter larvae	1789224
Acinetobacter schindleri	108981
Acinetobacter indicus	756892
Acinetobacter defluvii	1871111
Moraxella catarrhalis	480
Moraxella ovis	29433
Moraxella osloensis	34062
Moraxella bovoculi	386891
Moraxella bovis	476
Shewanella oneidensis	70863
Shewanella denitrificans	192073
Shewanella frigidimarina	56812
Shewanella amazonensis	60478
Shewanella baltica	62322
Shewanella loihica	359303
Shewanella putrefaciens	24
Shewanella sediminis	271097
Shewanella pealeana	70864
Shewanella sp. MR-4	60480
Shewanella sp. MR-7	60481
Shewanella sp. ANA-3	94122
Shewanella sp. W3-18-1	351745
Shewanella halifaxensis	271098
Shewanella woodyi	60961
Shewanella piezotolerans	404011
Shewanella violacea	60217
Shewanella sp. FDAARGOS 354	
Shewanella japonica	93973
Shewanella psychrophila	225848
Shewanella bicestrii	2018305
Shewanella marisflavi	260364
Shewanella sp. WE21	2029986
Idiomarina loihiensis	135577
Idiomarina piscisalsi	1096243
Idiomarina sp. X4	2055892
Idiomarina sp. OT37-5b	2100422
Colwellia psychrerythraea	28229
Colwellia sp. MT41	58049
Colwellia sp. PAMC 20917	1816218
Colwellia sp. PAMC 21821	1816219
Colwellia sp. Arc7-D	2161872
Pseudoalteromonas haloplanktis	228
Pseudoalteromonas atlantica	288
